22101106004|I
22101106004|II
22102102001|I
22102102001|II
22103106006|I
22103106006|II
22104102001|I
22104102001|II
22105102005|I
22105102005|II
22106107016|I
22106107016|II
22110103006|I
22110103006|II
22112111002|I
22112111002|II
22113124012|I
22113124012|II
22114125006|I
22114125006|II
22115117003|I
22115117003|II
22116109002|I
22116109002|II
22117107003|I
22117107003|II
22118128004|I
22118128004|II
22119113008|I
22119113008|II
22151113025|I
22151113025|II
22152146021|I
22152146021|II
22153132004|I
22153132004|II
22154149007|I
22154149007|II
22155126026|I
22155126026|II
22156148013|I
22156148013|II
22157127020|I
22157127020|II
23101103002|I
23101103002|II
23102102004|I
23102102004|II
23103106005|I
23103106005|II
23104102001|I
23104102001|II
23105102003|I
23105102003|II
23106107018|I
23106107018|II
23107107005|I
23107107005|II
23110102002|I
23110102002|II
23112111001|I
23112111001|II
23113124006|I
23113124006|II
23114125004|I
23114125004|II
23115117003|I
23115117003|II
23116109001|I
23116109001|II
23117107004|I
23117107004|II
23118128001|I
23118128001|II
23119113001|I
23119113001|II
23151113002|I
23151113002|II
23152146004|I
23152146004|II
23153132001|I
23153132001|II
23154149001|I
23154149001|II
23155126004|I
23155126004|II
23156148003|I
23156148003|II
23157127001|I
23157127001|II
