sem | branch_code | branch_name | subject_code | credit | total_sem_credit | status | sample_reg_nos
IV | 112 | Fire Technology and Safety | 112403P | 1.00 | 20 | MATCH | 22112111002
IV | 112 | Fire Technology and Safety | 112404 | 3.00 | 20 | MATCH | 22112111002
IV | 112 | Fire Technology and Safety | 112404P | 1.00 | 20 | MATCH | 22112111002
IV | 112 | Fire Technology and Safety | 112405 | 3.00 | 20 | MATCH | 22112111002
IV | 112 | Fire Technology and Safety | 112405P | 1.00 | 20 | MATCH | 22112111002
IV | 113 | Mining Engineering | 113401 | 3.00 | 20 | MATCH | 22113124012
IV | 113 | Mining Engineering | 113402 | 4.00 | 20 | MATCH | 22113124012
IV | 113 | Mining Engineering | 113403 | 4.00 | 20 | MATCH | 22113124012
IV | 113 | Mining Engineering | 113403P | 1.00 | 20 | MATCH | 22113124012
IV | 113 | Mining Engineering | 113404 | 3.00 | 20 | MATCH | 22113124012
IV | 113 | Mining Engineering | 113404P | 1.00 | 20 | MATCH | 22113124012
IV | 113 | Mining Engineering | 113405 | 3.00 | 20 | MATCH | 22113124012
IV | 113 | Mining Engineering | 113405P | 1.00 | 20 | MATCH | 22113124012
IV | 114 | Chemical Engineering | 114401 | 3.00 | 21 | MATCH | 22114125006
IV | 114 | Chemical Engineering | 114401P | 2.00 | 21 | MATCH | 22114125006
IV | 114 | Chemical Engineering | 114402 | 3.00 | 21 | MATCH | 22114125006
IV | 114 | Chemical Engineering | 114403 | 3.00 | 21 | MATCH | 22114125006
IV | 114 | Chemical Engineering | 114404 | 3.00 | 21 | MATCH | 22114125006
IV | 114 | Chemical Engineering | 114404P | 2.00 | 21 | MATCH | 22114125006
IV | 114 | Chemical Engineering | 114405 | 3.00 | 21 | MATCH | 22114125006
IV | 114 | Chemical Engineering | 114405P | 2.00 | 21 | MATCH | 22114125006
IV | 115 | Food Processing and Preservation | 115401 | 4.00 | 20 | MATCH | 22115117003
IV | 115 | Food Processing and Preservation | 115401P | 1.50 | 20 | MATCH | 22115117003
IV | 115 | Food Processing and Preservation | 115402 | 3.00 | 20 | MATCH | 22115117003
IV | 115 | Food Processing and Preservation | 115402P | 1.50 | 20 | MATCH | 22115117003
IV | 115 | Food Processing and Preservation | 115403 | 3.00 | 20 | MATCH | 22115117003
IV | 115 | Food Processing and Preservation | 115403P | 1.50 | 20 | MATCH | 22115117003
IV | 115 | Food Processing and Preservation | 115404 | 4.00 | 20 | MATCH | 22115117003
IV | 115 | Food Processing and Preservation | 115404P | 1.50 | 20 | MATCH | 22115117003
IV | 116 | Aeronautical Engineering | 116401 | 4.00 | 19.5 | MATCH | 22116109002
IV | 116 | Aeronautical Engineering | 116401P | 1.50 | 19.5 | MATCH | 22116109002
IV | 116 | Aeronautical Engineering | 116402 | 4.00 | 19.5 | MATCH | 22116109002
IV | 116 | Aeronautical Engineering | 116403 | 4.00 | 19.5 | MATCH | 22116109002
IV | 116 | Aeronautical Engineering | 116404 | 4.00 | 19.5 | MATCH | 22116109002
IV | 116 | Aeronautical Engineering | 116405P | 2.00 | 19.5 | MATCH | 22116109002
IV | 118 | 3-D Animation and Graphics | 118401 | 3.00 | 21 | MATCH | 22118128004
IV | 118 | 3-D Animation and Graphics | 118401P | 2.00 | 21 | MATCH | 22118128004
IV | 118 | 3-D Animation and Graphics | 118402 | 3.00 | 21 | MATCH | 22118128004
IV | 118 | 3-D Animation and Graphics | 118402P | 2.00 | 21 | MATCH | 22118128004
IV | 118 | 3-D Animation and Graphics | 118403 | 3.00 | 21 | MATCH | 22118128004
IV | 118 | 3-D Animation and Graphics | 118404 | 3.00 | 21 | MATCH | 22118128004
IV | 118 | 3-D Animation and Graphics | 118404P | 2.00 | 21 | MATCH | 22118128004
IV | 118 | 3-D Animation and Graphics | 118405 | 3.00 | 21 | MATCH | 22118128004
IV | 119 | Civil Engineering With Computer Application | 119401 | 3.00 | 22 | MATCH | 22119113008
IV | 119 | Civil Engineering With Computer Application | 119402 | 2.00 | 22 | MATCH | 22119113008
IV | 119 | Civil Engineering With Computer Application | 119402P | 1.00 | 22 | MATCH | 22119113008
IV | 119 | Civil Engineering With Computer Application | 119403 | 2.00 | 22 | MATCH | 22119113008
IV | 119 | Civil Engineering With Computer Application | 119404 | 3.00 | 22 | MATCH | 22119113008
IV | 119 | Civil Engineering With Computer Application | 119404P | 1.00 | 22 | MATCH | 22119113008
IV | 119 | Civil Engineering With Computer Application | 119405 | 4.00 | 22 | MATCH | 22119113008
IV | 119 | Civil Engineering With Computer Application | 119406 | 2.00 | 22 | MATCH | 22119113008
IV | 119 | Civil Engineering With Computer Application | 119406P | 1.00 | 22 | MATCH | 22119113008
IV | 119 | Civil Engineering With Computer Application | 119407P | 2.00 | 22 | MATCH | 22119113008
IV | 119 | Civil Engineering With Computer Application | 119408P | 1.00 | 22 | MATCH | 22119113008
IV | 151 | Computer Science and Engineering (Artificial Intelligence) | 100403 | 3.00 | 27 | MATCH | 22151113025
IV | 151 | Computer Science and Engineering (Artificial Intelligence) | 100403P | 2.00 | 27 | MATCH | 22151113025
IV | 151 | Computer Science and Engineering (Artificial Intelligence) | 100404 | 4.00 | 27 | MATCH | 22151113025
IV | 151 | Computer Science and Engineering (Artificial Intelligence) | 100407 | 3.00 | 27 | MATCH | 22151113025
IV | 151 | Computer Science and Engineering (Artificial Intelligence) | 105401 | 3.00 | 27 | MATCH | 22151113025
IV | 151 | Computer Science and Engineering (Artificial Intelligence) | 105401P | 2.00 | 27 | MATCH | 22151113025
IV | 151 | Computer Science and Engineering (Artificial Intelligence) | 105402 | 3.00 | 27 | MATCH | 22151113025
IV | 151 | Computer Science and Engineering (Artificial Intelligence) | 105402P | 2.00 | 27 | MATCH | 22151113025
IV | 151 | Computer Science and Engineering (Artificial Intelligence) | 105403 | 3.00 | 27 | MATCH | 22151113025
IV | 151 | Computer Science and Engineering (Artificial Intelligence) | 105403P | 2.00 | 27 | MATCH | 22151113025
IV | 152 | Computer Science and Engineering (Cyber Security) | 100403 | 3.00 | 27 | MATCH | 22152146021
IV | 152 | Computer Science and Engineering (Cyber Security) | 100403P | 2.00 | 27 | MATCH | 22152146021
IV | 152 | Computer Science and Engineering (Cyber Security) | 100404 | 4.00 | 27 | MATCH | 22152146021
IV | 152 | Computer Science and Engineering (Cyber Security) | 100407 | 3.00 | 27 | MATCH | 22152146021
IV | 152 | Computer Science and Engineering (Cyber Security) | 105401 | 3.00 | 27 | MATCH | 22152146021
IV | 152 | Computer Science and Engineering (Cyber Security) | 105401P | 2.00 | 27 | MATCH | 22152146021
IV | 152 | Computer Science and Engineering (Cyber Security) | 105402 | 3.00 | 27 | MATCH | 22152146021
IV | 152 | Computer Science and Engineering (Cyber Security) | 105402P | 2.00 | 27 | MATCH | 22152146021
IV | 152 | Computer Science and Engineering (Cyber Security) | 105403 | 3.00 | 27 | MATCH | 22152146021
IV | 152 | Computer Science and Engineering (Cyber Security) | 105403P | 2.00 | 27 | MATCH | 22152146021
IV | 153 | Computer Science and Engineering (Data Science) | 100403 | 3.00 | 27 | MATCH | 22153132004
IV | 153 | Computer Science and Engineering (Data Science) | 100403P | 2.00 | 27 | MATCH | 22153132004
IV | 153 | Computer Science and Engineering (Data Science) | 100404 | 4.00 | 27 | MATCH | 22153132004
IV | 153 | Computer Science and Engineering (Data Science) | 100407 | 3.00 | 27 | MATCH | 22153132004
IV | 153 | Computer Science and Engineering (Data Science) | 105401 | 3.00 | 27 | MATCH | 22153132004
IV | 153 | Computer Science and Engineering (Data Science) | 105401P | 2.00 | 27 | MATCH | 22153132004
IV | 153 | Computer Science and Engineering (Data Science) | 105402 | 3.00 | 27 | MATCH | 22153132004
IV | 153 | Computer Science and Engineering (Data Science) | 105402P | 2.00 | 27 | MATCH | 22153132004
